id,url
1,"https://www.continente.pt/produto/lombos-de-bacalhau-9-meses-de-cura-msc-ultracongelado-riberalves-5734326.html"
2,"https://www.continente.pt/produto/bolo-rei-continente-selecao-7218266.html"
3,"https://www.continente.pt/produto/queijo-de-vaca-amanteigado-continente-4778674.html"
4,"https://www.continente.pt/produto/bacalhau-espiritual-para-6-pessoas-cozinha-continente-7721576.html"
5,"https://www.continente.pt/produto/diospiro-maca-roer-continente-2576116.html"
6,"https://www.continente.pt/produto/rolo-de-carne-de-novilho-com-queijo-e-fiambre-continente-selecao-7298016.html"
7,"https://www.continente.pt/produto/bacalhau-graudo-1-noruega-seco-2202534.html"
8,"https://www.continente.pt/produto/lombos-de-bacalhau-msc-demolhado-ultracongelado-continente-selecao-7291126.html"
9,"https://www.continente.pt/produto/mix-frutos-do-bosque-beira-baga-7718394.html"
10,"https://www.continente.pt/produto/panettone-classico-dolce-forneria-7480438.html"
11,"https://www.continente.pt/produto/presunto-fatiado-9-meses-de-cura-casa-do-monte-7218060.html"
12,"https://www.continente.pt/produto/pao-de-rio-maior-6913160.html"
13,"https://www.continente.pt/produto/tranches-de-salmao-selvagem-msc-ultracongelado-iglo-5934282.html"
14,"https://www.continente.pt/produto/quartos-de-cabrito-balcao-continente-6623523.html"
15,"https://www.continente.pt/produto/banana-continente-2597619.html"
16,"https://www.continente.pt/produto/curgete-verde-continente-2076759.html"
17,"https://www.continente.pt/produto/clementina-continente-2165762.html"
18,"https://www.continente.pt/produto/queijo-flamengo-fatiado-continente-2888438.html"
19,"https://www.continente.pt/produto/cenoura-continente-2885107.html"
20,"https://www.continente.pt/produto/peito-de-frango-em-vacuo-continente-6950358.html"
21,"https://www.continente.pt/produto/uva-branca-sem-grainha-continente-2076622.html"
22,"https://www.continente.pt/produto/batata-vermelha-continente-5454736.html"
23,"https://www.continente.pt/produto/banana-da-madeira-continente-2076480.html"
24,"https://www.continente.pt/produto/laranja-igp-algarve-igp-algarve-2507240.html"
25,"https://www.continente.pt/produto/polvo-congelado-15-a-3-kg-continente-7472556.html"
26,"https://www.continente.pt/produto/cebola-continente-4891584.html"
27,"https://www.continente.pt/produto/couve-brocolo-continente-2076764.html"
28,"https://www.continente.pt/produto/preparado-de-carne-picada-de-bovino-continente-7430620.html"
29,"https://www.continente.pt/produto/bifes-de-frango-continente-7068833.html"
30,"https://www.continente.pt/produto/bola-de-lenha-7371764.html"
31,"https://www.continente.pt/produto/pera-rocha-dop-oeste-continente-7102076.html"
32,"https://www.continente.pt/produto/uva-branca-sem-grainha-continente-7618292.html"
33,"https://www.continente.pt/produto/porcoes-de-salmao-fresco-6661780.html"
34,"https://www.continente.pt/produto/batata-doce-continente-2076703.html"
35,"https://www.continente.pt/produto/espinafre-baby-leaf-continente-7171318.html"
36,"https://www.continente.pt/produto/alho-frances-cortado-continente-4419690.html"
37,"https://www.continente.pt/produto/bifes-de-peru-continente-4460224.html"
38,"https://www.continente.pt/produto/peito-de-frango-continente-7069674.html"
39,"https://www.continente.pt/produto/queijo-flamengo-sem-lactose-fatiado-terra-nostra-5125010.html"
40,"https://www.continente.pt/produto/bola-de-centeio-7371623.html"
41,"https://www.continente.pt/produto/limao-continente-2076509.html"
42,"https://www.continente.pt/produto/bacalhau-desfiado-msc-demolhado-ultracongelado-continente-7291007.html"
43,"https://www.continente.pt/produto/maca-gala-igp-alcobaca-residuo-zero-continente-7848011.html"
44,"https://www.continente.pt/produto/posta-de-salmao-fresca-4405983.html"
45,"https://www.continente.pt/produto/fiambre-de-peito-de-peru-fatiado-continente-7308018.html"
46,"https://www.continente.pt/produto/tomate-chucha-continente-2076838.html"
47,"https://www.continente.pt/produto/manga-palmer-de-aviao-continente-2504465.html"
48,"https://www.continente.pt/produto/cenoura-continente-5063155.html"
49,"https://www.continente.pt/produto/pao-de-forma-com-codea-continente-7157938.html"
50,"https://www.continente.pt/produto/cabaz-gourmet-cabazgourmet.html"
51,"https://www.continente.pt/produto/cabaz-reis-a-mesa-cabazreisamesa.html"
52,"https://www.continente.pt/produto/kiwi-zespri-7174691.html"
53,"https://www.continente.pt/produto/tomate-em-cacho-continente-2253796.html"
54,"https://www.continente.pt/produto/miolo-de-noz-metades-continente-6998176.html"
55,"https://www.continente.pt/produto/manga-palmer-maturada-continente-4480831.html"
56,"https://www.continente.pt/produto/coentros-continente-6690953.html"
57,"https://www.continente.pt/produto/bacon-fumado-tiras-continente-5243280.html"
58,"https://www.continente.pt/produto/pao-de-leite-continente-6367767.html"
59,"https://www.continente.pt/produto/carcaca-portuguesa-7371774.html"
60,"https://www.continente.pt/produto/pepino-continente-2076815.html"
61,"https://www.continente.pt/produto/batata-especial-cozer-continente-selecao-5464229.html"
62,"https://www.continente.pt/produto/queijo-mozzarella-ralado-para-pizza-continente-8036907.html"
63,"https://www.continente.pt/produto/mirtilo-masia-7751334.html"
64,"https://www.continente.pt/produto/alho-seco-continente-4599477.html"
65,"https://www.continente.pt/produto/abacate-hass-continente-2076390.html"
66,"https://www.continente.pt/produto/maca-pink-lady-continente-7303767.html"
67,"https://www.continente.pt/produto/cebola-continente-4618134.html"
68,"https://www.continente.pt/produto/filetes-de-robalo-fresco-7530198.html"
69,"https://www.continente.pt/produto/queijo-flamengo-fatiado-continente-6184775.html"
70,"https://www.continente.pt/produto/couve-flor-continente-2076768.html"
71,"https://www.continente.pt/produto/lombos-de-salmao-asc-ultracongelado-continente-6635820.html"
72,"https://www.continente.pt/produto/lombinhos-de-porco-continente-2588815.html"
73,"https://www.continente.pt/produto/fiambre-da-pa-fatiado-continente-7102478.html"
74,"https://www.continente.pt/produto/batata-vermelha-continente-4475280.html"
75,"https://www.continente.pt/produto/kiwi-gold-zespri-5345897.html"
76,"https://www.continente.pt/produto/alface-frisada-continente-2647366.html"
77,"https://www.continente.pt/produto/azeitona-preta-descarocada-oxidada-continente-7571617.html"
78,"https://www.continente.pt/produto/tomate-cherry-vermelho-continente-5813805.html"
79,"https://www.continente.pt/produto/fiambre-de-peito-de-frango-continente-7310431.html"
80,"https://www.continente.pt/produto/papaia-de-aviao-continente-2076576.html"
81,"https://www.continente.pt/produto/fiambre-da-perna-extra-fatias-finissimas-continente-7102483.html"
82,"https://www.continente.pt/produto/tomate-cherry-alongado-tomaticious-7630607.html"
83,"https://www.continente.pt/produto/presunto-serrano-fatiado-9-meses-de-cura-continente-7753652.html"
84,"https://www.continente.pt/produto/medalhoes-de-salmao-ultracongelado-pescanova-7656035.html"
85,"https://www.continente.pt/produto/massa-folhada-continente-4297264.html"
86,"https://www.continente.pt/produto/pao-de-forma-sem-codea-bimbo-6246547.html"
87,"https://www.continente.pt/produto/salsa-continente-6690952.html"
88,"https://www.continente.pt/produto/queijo-fresco-longa-duracao-light-continente-equilibrio-6355315.html"
89,"https://www.continente.pt/produto/queijo-curado-fatiado-milhafre-6752430.html"
90,"https://www.continente.pt/produto/queijo-mini-babybel-5608649.html"
91,"https://www.continente.pt/produto/fiambre-de-peito-de-peru-forno-de-lenha-fatiado-continente-7274438.html"
92,"https://www.continente.pt/produto/abacaxi-continente-2230127.html"
93,"https://www.continente.pt/produto/peito-de-frango-continente-7069729.html"
